"study_route","gender","age_group","education_level","transport_service_type","service_type_other_specify","driving_experience_years","operation_area","work_time","daily_trips","belongs_to_union","union_name","union_other_specify","road_condition","congestion_frequency","congestion_causes","cause_poor_roads","cause_indiscipline","cause_street_trading","cause_poor_traffic_control","cause_lack_parking","terminal_availability","encounters_challenges_authorities","challenges_details","regulation_effectiveness","relationship_with_agencies","fair_law_enforcement","income_effect_congestion","improvement_suggestions","suggest_new_roads","suggest_traffic_mgmt","suggest_parking","suggest_law_enforcement","suggest_reduce_hawking","suggest_other"
"Ejisu-Kejetia Road","Male","26–35","Tertiary","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Morning","1–3",TRUE,"PROTOA",NA,"Good","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking",1,1,1,0,0,"Inadequate",TRUE,NA,"Effective","Cordial",FALSE,"Decreased slightly","a. Construction of new roads c. More parking/loading spaces d. Enforcement of traffic laws",1,0,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Taxi",NA,"Over 10 years","Suburbs","Throughout the day","7–9",TRUE,"Co-operative",NA,"Very good","Rarely","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Neutral","Neutral",NA,"No effect","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Taxi",NA,"6–10 years","Suburbs","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Adequate",FALSE,NA,"Effective","Neutral",FALSE,"No effect","a. Construction of new roads b. Better traffic management",1,1,0,0,0,0
"Ejisu-Kejetia Road","Male","26–35","Secondary","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"PROTOA",NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Fair",TRUE,"They sometimes want bribe","Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Taxi",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Good","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",TRUE,"Police taking bribe from us","Effective","Cordial",TRUE,"No effect","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Taxi",NA,"2–5 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"2–5 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Always","c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,0,1,1,1,"Inadequate",TRUE,NA,"Neutral","Neutral",TRUE,"Decreased slightly","d. Enforcement of traffic laws",0,0,0,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Fair",FALSE,NA,"Neutral","Neutral",TRUE,"Decreased slightly","a. Construction of new roads b. Better traffic management",1,1,0,0,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","4–6",TRUE,"PROTOA",NA,"Fair","Sometimes","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Trotro (Minibus)",NA,"2–5 years","Suburbs","Afternoon","4–6",TRUE,"Co-operative",NA,"Good","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking",1,1,1,0,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Trotro (Minibus)",NA,"Less than 2 years","Inter-town routes","Throughout the day","4–6",TRUE,"PROTOA",NA,"Poor","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",TRUE,"Decreased slightly","d. Enforcement of traffic laws e. Reduction of street hawking",0,0,0,1,1,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Pragya/Okada",NA,"Less than 2 years","Suburbs","Evening","4–6",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"Co-operative",NA,"Fair","Rarely","d. Poor traffic control",0,0,0,1,0,"Fair",FALSE,NA,"Effective","Cordial",TRUE,"No effect","a. Construction of new roads c. More parking/loading spaces d. Enforcement of traffic laws",1,0,1,1,0,0
