"study_route","gender","age_group","marital_status","education_level","occupation","monthly_income","length_of_stay","primary_transport_mode","uses_trotro","uses_taxi","uses_tricycle","uses_motorcycle","travel_purpose","travels_for_work","travels_for_school","travels_for_shopping","travels_for_social","transport_frequency_weekly","fare_per_trip","fare_affordability","schedule_reliability","vehicle_comfort","service_safety","driver_courtesy","common_problems","problem_long_waiting","problem_overcrowding","problem_high_fares","problem_reckless_driving","problem_poor_roads","delay_frequency","accident_concern","faces_harassment","transport_choice_factors","choice_factor_cost","choice_factor_speed","choice_factor_comfort","choice_factor_safety","choice_factor_availability","congestion_level","peak_traffic_time","daily_traffic_time","road_network_adequate","greatest_mobility_challenges","challenge_workers","challenge_students","challenge_traders","challenge_disabled","challenge_elderly","coping_strategies","coping_leave_early","coping_alt_routes","coping_switch_mode","coping_wait_patiently","switched_transport_mode","more_buses_helpful","infrastructure_improvements","improve_expand_roads","improve_walkways","improve_brt","improve_traffic_mgmt","transport_unions_role","overall_service_quality","accessible_to_low_income","biggest_transport_problem","biggest_problem_congestion","biggest_problem_inadequate","biggest_problem_infrastructure","biggest_problem_fares","biggest_problem_safety","govt_intervention_needed","support_modern_systems"
"Kejetia– Santasi Road","Female","36–45 years","Single","Primary education","Self-employed/trader","GHC 1,000 – 1,499","4–6 years","Taxi Motorcycle (Okada)",0,1,0,1,"School/Education Social/Religious activities",0,1,0,1,"1–2 times",7,"Affordable","Dissatisfied","Very uncomfortable","Safe","Courteous","Long waiting times Reckless driving",1,0,0,1,0,"Always","Concerned",TRUE,"Cost Comfort  Safety",1,0,1,1,0,"Very severe","Afternoon [12–3 pm]","More than 2 hours",TRUE,"Students Persons with disabilities",0,1,0,1,0,"Use alternative routes",0,1,0,0,TRUE,"Agree","Building pedestrian walkways Developing bus rapid transit [BRT]",0,1,1,0,"Ineffective","Good",TRUE,"Poor infrastructure",0,0,1,0,0,"Agree",TRUE
"Sofoline – Adum Road","Male","18–25 years","Single","Tertiary (College/University/Polytechnic)","Private sector employee","GHC 500 – 999","4–6 years","Trotro (minibus)",1,0,0,0,"Work/Business",1,0,0,0,"1–2 times",12,"Affordable","Satisfied","Comfortable","Safe","Courteous","Long waiting times Overcrowding High fares",1,1,1,0,0,"Often","Concerned",FALSE,"Cost Speed",1,1,0,0,0,"Severe","Evening [4–8 pm]","1–2 hours",TRUE,"Persons with disabilities Elderly",0,0,0,1,1,"Use alternative routes Wait patiently",0,1,0,1,FALSE,"Agree","Developing bus rapid transit [BRT]",0,0,1,0,"Effective","Good",TRUE,"Congestion Inadequate services",1,1,0,0,0,"Agree",TRUE
"Sofoline – Adum Road","Female","36–45 years","Married","Junior High School (JHS)","Private sector employee","GHC 1,000 – 1,499","7–10 years","Trotro (minibus) Taxi Tricycle (Pragya)",1,1,1,0,"Work/Business Shopping/Errands",1,0,1,0,"3–5 times",25,"Affordable","Satisfied","Comfortable","Safe","Rude","Long waiting times Overcrowding High fares",1,1,1,0,0,"Sometimes","Concerned",FALSE,"Cost Speed",1,1,0,0,0,"Severe","Evening [4–8 pm]","More than 2 hours",TRUE,"Persons with disabilities Elderly",0,0,0,1,1,"Switch to another transport mode",0,0,1,0,TRUE,"Strongly agree","Developing bus rapid transit [BRT]",0,0,1,0,"Effective","Good",TRUE,"Congestion Inadequate services High fares",1,1,0,1,0,"Agree",TRUE
"Sofoline – Adum Road","Male","18–25 years","Single","Junior High School (JHS)","Private sector employee","GHC 500 – 999","4–6 years","Trotro (minibus)",1,0,0,0,"Work/Business",1,0,0,0,"1–2 times",10,"Affordable","Satisfied","Comfortable","Safe","Courteous","Long waiting times Overcrowding High fares",1,1,1,0,0,"Often","Concerned",FALSE,"Cost Availability",1,0,0,0,1,"Severe","Evening [4–8 pm]","30–60 minutes",TRUE,"Workers",1,0,0,0,0,"Use alternative routes Switch to another transport mode",0,1,1,0,TRUE,"Agree","Expanding road networks Building pedestrian walkways",1,1,0,0,"Effective","Good",TRUE,"Congestion",1,0,0,0,0,"Agree",FALSE
"Sofoline – Adum Road","Male","18–25 years","Single","Senior High School (SHS)","Public sector employee","GHC 500 – 999","4–6 years","Trotro (minibus)",1,0,0,0,"Work/Business",1,0,0,0,"More than 7 times",16,"Expensive","Satisfied","Comfortable","Unsafe","Rude","High fares Reckless driving",0,0,1,1,0,"Often","Very concerned",FALSE,"Cost",1,0,0,0,0,"Very severe","Morning [6–9 am]","30–60 minutes",FALSE,"Workers Students",1,1,0,0,0,"Leave home early Switch to another transport mode",1,0,1,0,TRUE,"Strongly agree","Developing bus rapid transit [BRT]",0,0,1,0,"Very effective","Fair",FALSE,"High fares",0,0,0,1,0,"Strongly agree",TRUE
"Sofoline – Adum Road","Female","46–55 years","Divorced/Separated","Junior High School (JHS)","Private sector employee","Below GHC 500","More than 10 years","Trotro (minibus) Taxi",1,1,0,0,"Work/Business",1,0,0,0,"1–2 times",6,"Expensive","Satisfied","Comfortable","Safe","Courteous","High fares",0,0,1,0,0,"Rarely","Concerned",FALSE,"Cost Speed Availability",1,1,0,0,1,"Low","Evening [4–8 pm]","Less than 30 minutes",TRUE,"Persons with disabilities Elderly",0,0,0,1,1,"Switch to another transport mode",0,0,1,0,TRUE,"Agree","Expanding road networks Developing bus rapid transit [BRT]",1,0,1,0,"Effective","Good",FALSE,"Congestion High fares",1,0,0,1,0,"Agree",TRUE
"Sofoline – Adum Road","Female","26–35 years","Married","No formal education","Private sector employee","Below GHC 500","More than 10 years","Trotro (minibus) Taxi",1,1,0,0,"Work/Business",1,0,0,0,"More than 7 times",20,"Expensive","Dissatisfied","Comfortable","Safe","Courteous","Long waiting times High fares",1,0,1,0,0,"Often","Concerned",FALSE,"Availability",0,0,0,0,1,"Severe","Evening [4–8 pm]","Less than 30 minutes",TRUE,"Persons with disabilities Elderly",0,0,0,1,1,"Use alternative routes",0,1,0,0,TRUE,"Agree","Improving traffic management systems",0,0,0,1,"Effective","Good",TRUE,"High fares",0,0,0,1,0,"Strongly agree",TRUE
"Sofoline – Adum Road","Male","36–45 years","Married","Tertiary (College/University/Polytechnic)","Private sector employee","GHC 2,000 and above","More than 10 years","Trotro (minibus)",1,0,0,0,"Work/Business",1,0,0,0,"More than 7 times",60,"Expensive","Satisfied","Comfortable","Safe","Courteous","Long waiting times",1,0,0,0,0,"Often","Concerned",FALSE,"Speed Comfort  Safety  Availability",0,1,1,1,1,"Very severe","Evening [4–8 pm]","1–2 hours",FALSE,"Persons with disabilities Elderly",0,0,0,1,1,"Use alternative routes",0,1,0,0,TRUE,"Disagree","Expanding road networks Improving traffic management systems",1,0,0,1,"Effective","Fair",FALSE,"High fares",0,0,0,1,0,"Strongly agree",TRUE
"Sofoline – Adum Road","Female","18–25 years","Single","Tertiary (College/University/Polytechnic)","Private sector employee","GHC 2,000 and above","More than 10 years","Trotro (minibus) Taxi Tricycle (Pragya)",1,1,1,0,"Work/Business",1,0,0,0,"6–7 times",26,"Affordable","Dissatisfied","Uncomfortable","Safe","Rude","Long waiting times Overcrowding High fares Poor road conditions",1,1,1,0,1,"Always","Very concerned",FALSE,"Cost Speed Comfort  Safety  Availability",1,1,1,1,1,"Very severe","Morning [6–9 am]","1–2 hours",FALSE,"Workers Students",1,1,0,0,0,"Leave home early Use alternative routes Switch to another transport mode",1,1,1,0,TRUE,"Strongly agree","Expanding road networks Building pedestrian walkways Developing bus rapid transit [BRT] Improving traffic management systems",1,1,1,1,"Ineffective","Good",FALSE,"Congestion Inadequate services High fares",1,1,0,1,0,"Strongly agree",TRUE
"Sofoline – Adum Road","Male","18–25 years","Single","Senior High School (SHS)","Private sector employee","GHC 500 – 999","More than 10 years","Trotro (minibus)",1,0,0,0,"Work/Business",1,0,0,0,"More than 7 times",5,"Affordable","Satisfied","Comfortable","Safe","Courteous","Overcrowding High fares",0,1,1,0,0,"Often","Concerned",FALSE,"Cost Availability",1,0,0,0,1,"Severe","Evening [4–8 pm]","1–2 hours",FALSE,"Persons with disabilities Elderly",0,0,0,1,1,"Use alternative routes",0,1,0,0,TRUE,"Disagree","Expanding road networks Developing bus rapid transit [BRT]",1,0,1,0,"Effective","Good",FALSE,"Congestion High fares",1,0,0,1,0,"Agree",FALSE
